corridor_id,receiver_id,Lden_db,SEL_total_db,LAeq_day_db
corridor_0,3640,0.991774677,43.6167936,-7.509256413
corridor_0,3641,1.313960194,43.93897912,-7.187070897
corridor_0,3642,1.496371388,44.12139031,-7.004659703
corridor_0,3643,1.784369587,44.40938851,-6.716661504
corridor_0,3644,2.023421406,44.64844033,-6.477609685
corridor_0,3645,2.112483143,44.73750207,-6.388547948
corridor_0,3646,2.169139027,44.79415795,-6.331892064
corridor_0,3647,2.295836567,44.92085549,-6.205194524
corridor_0,3648,2.275126576,44.9001455,-6.225904515
corridor_0,3649,2.242331623,44.86735055,-6.258699468
corridor_0,3650,2.182162403,44.80718133,-6.318868688
corridor_0,3651,2.107936024,44.73295495,-6.393095067
corridor_0,3652,2.006686329,44.63170525,-6.494344762
corridor_0,3653,1.900923847,44.52594277,-6.600107244
corridor_0,3654,1.795664906,44.42068383,-6.705366185
corridor_0,3655,1.57201302,44.19703194,-6.929018071
corridor_0,3656,1.298022389,43.92304131,-7.203008702
corridor_0,3657,1.133193134,43.75821206,-7.367837956
corridor_0,3658,0.818202137,43.44322106,-7.682828954
corridor_0,3659,0.492083668,43.11710259,-8.008947423
corridor_0,3660,0.103476643,42.72849557,-8.397554448
corridor_0,3661,-0.299805523,42.3252134,-8.800836614
corridor_0,3662,-0.750153423,41.8748655,-9.251184514
corridor_0,3663,-1.215710522,41.4093084,-9.716741612
corridor_0,3664,-2.257878185,40.36714074,-10.75890928
corridor_0,3665,-3.490387798,39.13463113,-11.99141889
corridor_0,3666,-8.03799522,34.5870237,-16.53902631
corridor_0,3758,-5.491516949,37.13350198,-13.99254804
corridor_0,3759,-3.0154351,39.60958382,-11.51646619
corridor_0,3760,-1.896126629,40.7288923,-10.39715772
corridor_0,3761,-0.94531715,41.67970177,-9.446348241
corridor_0,3762,-0.476136089,42.14888284,-8.97716718
