order,grid_i,grid_j,X_EPSG5179,Y_EPSG5179,lat,lon
460,52,3,1142650,1726750,35.5264487,129.0733382
461,51,3,1142550,1726750,35.5264631,129.0722356
462,50,3,1142450,1726750,35.5264774,129.0711331
463,49,3,1142350,1726750,35.5264918,129.0700305
464,48,3,1142250,1726750,35.5265061,129.0689279
465,47,3,1142150,1726750,35.5265205,129.0678254
466,46,3,1142050,1726750,35.5265348,129.0667228
467,45,3,1141950,1726750,35.5265491,129.0656202
468,44,3,1141850,1726750,35.5265634,129.0645177
469,43,3,1141750,1726750,35.5265777,129.0634151
470,42,3,1141650,1726750,35.526592,129.0623125
471,41,3,1141550,1726750,35.5266063,129.0612099
472,40,3,1141450,1726750,35.5266206,129.0601074
473,39,3,1141350,1726750,35.5266348,129.0590048
474,38,3,1141250,1726750,35.5266491,129.0579022
475,37,3,1141150,1726750,35.5266633,129.0567996
476,36,3,1141050,1726750,35.5266776,129.0556971
477,35,3,1140950,1726750,35.5266918,129.0545945
478,34,3,1140850,1726750,35.526706,129.0534919
479,33,3,1140750,1726750,35.5267202,129.0523893
480,32,3,1140650,1726750,35.5267344,129.0512867
481,31,3,1140550,1726750,35.5267485,129.0501842
482,30,3,1140450,1726750,35.5267627,129.0490816
483,29,3,1140350,1726750,35.5267769,129.047979
484,28,3,1140250,1726750,35.526791,129.0468764
485,27,3,1140150,1726750,35.5268052,129.0457738
486,26,3,1140050,1726750,35.5268193,129.0446713
487,25,3,1139950,1726750,35.5268334,129.0435687
488,24,3,1139850,1726750,35.5268475,129.0424661
489,23,3,1139750,1726750,35.5268616,129.0413635
490,22,3,1139650,1726750,35.5268757,129.0402609
491,21,3,1139550,1726750,35.5268898,129.0391583
492,20,3,1139450,1726750,35.5269039,129.0380557
493,19,3,1139350,1726750,35.5269179,129.0369531
494,18,3,1139250,1726750,35.526932,129.0358506
495,17,3,1139150,1726750,35.526946,129.034748
496,16,3,1139050,1726750,35.52696,129.0336454
497,15,3,1138950,1726750,35.526974,129.0325428
498,14,3,1138850,1726750,35.5269881,129.0314402
499,13,3,1138750,1726750,35.527002,129.0303376
500,12,3,1138650,1726750,35.527016,129.029235
501,11,3,1138550,1726750,35.52703,129.0281324
502,10,3,1138450,1726750,35.527044,129.0270298
503,9,3,1138350,1726750,35.5270579,129.0259272
504,8,3,1138250,1726750,35.5270719,129.0248246
505,7,3,1138150,1726750,35.5270858,129.023722
506,6,3,1138050,1726750,35.5270998,129.0226194
507,5,3,1137950,1726750,35.5271137,129.0215168
508,4,3,1137850,1726750,35.5271276,129.0204142
509,3,3,1137750,1726750,35.5271415,129.0193116
510,2,3,1137650,1726750,35.5271554,129.018209
511,1,3,1137550,1726750,35.5271692,129.0171064
512,0,3,1137450,1726750,35.5271831,129.0160038
513,0,4,1137450,1726850,35.5280845,129.0160208
514,1,4,1137550,1726850,35.5280706,129.0171234
515,2,4,1137650,1726850,35.5280567,129.018226
516,3,4,1137750,1726850,35.5280428,129.0193286
517,4,4,1137850,1726850,35.5280289,129.0204312
518,5,4,1137950,1726850,35.528015,129.0215338
519,6,4,1138050,1726850,35.5280011,129.0226364
520,7,4,1138150,1726850,35.5279872,129.0237391
521,8,4,1138250,1726850,35.5279732,129.0248417
522,9,4,1138350,1726850,35.5279593,129.0259443
523,10,4,1138450,1726850,35.5279453,129.0270469
524,11,4,1138550,1726850,35.5279314,129.0281495
525,12,4,1138650,1726850,35.5279174,129.0292521
526,13,4,1138750,1726850,35.5279034,129.0303547
527,14,4,1138850,1726850,35.5278894,129.0314573
528,15,4,1138950,1726850,35.5278754,129.0325599
529,16,4,1139050,1726850,35.5278614,129.0336625
530,17,4,1139150,1726850,35.5278473,129.0347651
531,18,4,1139250,1726850,35.5278333,129.0358677
532,19,4,1139350,1726850,35.5278193,129.0369703
533,20,4,1139450,1726850,35.5278052,129.0380729
534,21,4,1139550,1726850,35.5277911,129.0391755
535,22,4,1139650,1726850,35.527777,129.0402781
